"","name","median","Q1","Q3"
"1","TAR",0.898500974550999,0.886799291682807,0.909091197888165
"2","Duration",150,143,164
"3","Peak",40,33,47
"4","PAR",0.169994691720108,0.143415683405169,0.200804850005226
